<09:53:35> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:36> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:08:48> Starting production...
 --- .<17:08:48> Starting consumption...
 --- .<17:08:49> Starting production...
 --- .<17:08:49> Starting consumption...
 --- .<17:08:51> Starting production...
 --- .<17:08:51> Starting consumption...
 --- .<18:08:03> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:04> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:08:04> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:04> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:08:06> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:06> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:08:08> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:08> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:08:10> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:11> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:08:13> Starting production...
/home/pi/git_repos/BPMDetector/<18:08:13> Starting consumption...
/home/pi/git_repos/BPMDetector/<18:17:53,736> Starting production...
<18:17:53,754> Starting consumption...
<18:17:54,703> Starting production...
<18:17:54,705> Starting consumption...
<18:17:56,709> Starting production...
<18:17:56,740> Starting consumption...
<18:17:58,720> Starting production...
<18:17:58,736> Starting consumption...
<18:18:00,732> Starting production...
<18:18:00,751> Starting consumption...
<18:18:02,744> Starting production...
<18:18:02,760> Starting consumption...
<18:18:04,756> Starting production...
<18:18:04,773> Starting consumption...
<18:38:00,396> Starting production...
<18:38:00,409> Starting consumption...
<18:38:01,357> Starting production...
<18:38:01,366> Starting consumption...
<18:38:03,377> Starting consumption...
<18:38:03,380> Starting production...
<18:38:05,388> Starting production...
<18:38:05,392> Starting consumption...
<18:38:07,395> Starting production...
<18:38:07,408> Starting consumption...
